      Test-Name    no_log_fn(%) no_log_fn_sc_cs_nhd(%) sc_cs_hd(%)       subset(%) 
           INCR           98.11             100          106.35          109.24 
           SADD           97.81          106.47          107.57          107.62 
           SPOP           98.13          106.26          108.56          108.61 
           RPOP           98.55             100          108.91          108.83 
            SET          101.75             100          108.86          108.95 
          RPUSH           99.45             100          103.84           104.8 
           MSET           100.5          105.24          108.16          109.77 
